Word,POS Tag,Meaning
ಅಂಗೀಕಾರ,(ನಾ),"ಒಪ್ಪಿಗೆ, ಸಮ್ಮತಿ."
ಅಂಗುಲ,(ನಾ),"ಅಳತೆಮಾನ, ಒಂದು ಇಂಚು."
ಅಂಗುಳು,(ನಾ),"ಕಿರುನಾಲಗೆ ಪ್ರದೇಶ, ತಾಲು."
ಅಂಗೈ,(ನಾ),ಕೈಯ ಒಳಭಾಗ.
ಅಂಚು,(ನಾ),"ಕೊನೆ, ತುದಿ."
ಅಂಚುಕಟ್ಟು,(ಕ್ರಿ),ಕರೆಕಟ್ಟು .
ಅಂಚೆ,(ನಾ),"ಪೋಸ್ಟ್, ಟಪಾಲು."
ಅಂಜು,(ಕ್ರಿ),ಹೆದರು.
ಅಂಜೂರ,(ನಾ),ಅತ್ತಿಯಂತಹ ಒಂದು ಬಗೆಯ ಮರ ಮತ್ತು ಅದರ ಹಣ್ಣು.
ಅಂಟು,"(ನಾ),(ಕ್ರಿ)","ಗೋಂದು, ನಾಟಿಹಾಕಲು ಉಪಯೋಗಿಸುವ ಸಸ್ಯದ ರೆಂಬೆ. ಮುಟ್ಟು, ಸೇರು, ಕೂಡು."
ಅಂಡ,(ನಾ),"ಮೊಟ್ಟೆ, ಬೀಜ."
ಅಂಡಲೆ,"(ನಾ),(ಕ್ರಿ)","ಪೀಡೆ. ಪೀಡಿಸು, ಅಲೆದಾಡು."
ಅಂಡು,"(ನಾ),(ಕ್ರಿ)","ನಿತಂಬ, ಬುಡ, ತಳ. ಹತ್ತಿರ ಹೋಗು."
ಅಂಡೆ,(ನಾ),"ಟೊಳ್ಳಾದ ಬಿದಿರಿನ ಪಾತ್ರೆ, ಊದುಗೊಳವೆ."
ಅಂತ,(ನಾ),ಕೊನೆ.
ಅಂತಃಕರಣ,(ನಾ),"ಮನಸ್ಸು, ದಯೆ."
ಅಂತಪ್ಪ,(ಗು),"ಅಂತಹ, ಅಂಥ."
ಅಂತರ,(ನಾ),"ವ್ಯತ್ಯಾಸ, ನಡುವಿನ ಭಾಗ."
ಅಂತರಾಳ,(ನಾ),"ನಡುವಿನ ಜಾಗ, ಆಕಾಶ."
ಅಂತಸ್ತು,(ನಾ),"ಮಹಡಿ, ಅಟ, ಮಟ್ಟ."
ಅಂತಿಮ,(ಗು),ಕೊನೆಯ
ಅಂತೆ,(ಅ),ಹಾಗೆ.
ಅಂತ್ಯ,(ನಾ),"ಕೊನೆ, ಪ್ರಳಯ."
ಅಂದ,(ನಾ),"ಚೆಲುವು, ಸೊಬಗು, ರೀತಿ."
ಅಂದಣ,(ನಾ),"ಪಲ್ಲಕ್ಕಿ, ಮೇನ."
ಅಂದಾಜು,(ನಾ),ಊಹೆ
ಅಂದಾಜು ಪಟ್ಟಿ,(ನಾ),ಲೆಕ್ಕದ ಅಂದಾಜನ್ನು ತಿಳಿಸುವ ಪಟ್ಟಿ
ಅಂದು,"(ನಾ),(ಕ್ರಿ),(ಅ)",ಆ ದಿನ. ಎಟುಕು. ಆ ಸಂದರ್ಭದಲ್ಲಿ.
ಅಂದುಕ,(ನಾ),"ಸರಪಳಿ, ಅಂದುಗೆ."
ಅಂದುಗೆ,(ನಾ),ಕಾಲಿನ ನೂಪುರ ಕಡಗ.
ಅಂಬಟೆ,(ನಾ),"ಉಪ್ಪಿನಕಾಯಿಗೆ ಉಪಯೋಗಿಸುವ ಒಂದು ಹುಳಿಕಾಯಿ, ಅಮಟೆ ಕಾಯಿ."
ಅಂಬಲಿ,(ನಾ),ಗಂಜಿ.
ಅಂಬಾರಿ,(ನಾ),ಆನೆಯ ಮೇಲೆ ಕುಳಿತುಕೊಳ್ಳಲು ಹಾಕುವ ಭದ್ರಾಸನ.
ಅಂಬೆ,(ನಾ),ತಾಯಿ.
ಅಂಶ,(ನಾ),"ಭಾಗ, ಘಟಕ, ಡಿಗ್ರಿ , ಭಿನ್ನರಾಶಿಯಲ್ಲಿ ಮೇಲ್ಭಾಗದ ಸಂಖ್ಯೆ.."
ಅಕರಾಸ್ತೆ,(ನಾ),"ಅಕ್ಕರೆ, ಪ್ರೀತಿ."
ಅಕರಾಳವಿಕರಾಳ,(ಗು),ಘೋರ.
ಅಕಸ್ಮಾತ್,(ಅ),"ಇದ್ದಕ್ಕಿದ್ದಂತೆ, ಹಠಾತ್ತಾಗಿ."
ಅಕಾಲ,(ನಾ),ಕಾಲವಲ್ಲದ ಕಾಲ ವರ್ಷ.
ಅಕಾಲಿಕ,(ನಾ),ಕಾಲವಲ್ಲದ ಕಾಲಕ್ಕೆ ಸಂಬಂಧಿಸಿದ.
ಅಕಾಲಿಕ ಮಳೆ,(ನಾ),ಕಾಲವಲ್ಲದ ಕಾಲದಲ್ಲಿ ಬರುವ ಮಳೆ.
ಅಕ್ಕ,(ನಾ),ಹಿರಿಯ ಸಹೋದರಿ.
ಅಕ್ಕಟ,(ಅ),ವಿಷಾದ ಆಶ್ಚರ್ಯ ಆಸೂಯೆಗಳನ್ನು ಸೂಚಿಸುವ ಶಬ್ದ.
ಅಕ್ಕಡಿ,(ನಾ),ಹೊಲದಲ್ಲಿ ಎರಡು ಸಾಲಗಳ ಮಧ್ಯೆ ಇತರ ಧಾನ್ಯವನ್ನು ಬೆಳೆಯುವುದಕ್ಕಾಗಿ ಮಾಡಿದ ಸಾಲು ಮತ್ತು ಆ ಸಾಲಿನಲ್ಲಿ ಬಿತ್ತುವ ಧಾನ್ಯ
ಅಕ್ಕಣಿ,(ನಾ),"ಮಗ್ಗದಲ್ಲಿ ಹಾಸುಹೊಕ್ಕುಗಳ ಹೊಂದಿಕೆ, ಕಾಳು ತೆಗೆದ ಜೋಳದ ತೆನೆ."
ಅಕ್ಕರ,(ನಾ),"ಅಕ್ಷರ, ವಿದ್ಯೆ, ಪದ್ಯಜಾತಿಯ ಅಚ್ಚುಗನ್ನಡ ಒಂದು ಬಗೆ."
ಅಕ್ಕರೆ,(ನಾ),ಪ್ರೀತಿ.
ಅಕ್ಕಲು,(ನಾ),"ಬುದ್ದಿ, ವಿವೇಕ, ಅಕ್ಲ್."
ಅಕ್ಕಸ,(ನಾ),ಕನಿಕರದಿಂದ ಕೂಡಿದ ಕಳವಳ.
ಅಕ್ಕಸಾಲೆ,(ನಾ),ಚಿನ್ನ ಬೆಳ್ಳಿ ಕೆಲಸ ಮಾಡುವವನು.
ಅಕ್ಕಿ,(ನಾ),ಬತ್ತದ ಹೊಟ್ಟು ತೆಗೆದ ಮೇಲೆ ಉಳಿಯುವ ಕಾಳು.
ಅಕ್ಕುಳಿಸು,(ಕ್ರಿ),"ಹೊಟ್ಟೆ ಒಳಕ್ಕೆ ಇಳಿ, ಹೆದರು, ಹಿಂದೆಗೆ, ದುಃಖಿಸು."
ಅಕ್ಕೆ,(ನಾ),"ಅಳುವಿಕೆ, ಲೇಪನ."
ಅಕ್ಲ್,(ನಾ),ಅಕ್ಕಲು.
ಅಕ್ಷತೆ,"(ನಾ),(ಗು)","ಮೊನೆ ಮುರಿಯದ ಅಕ್ಕಿ, ಮಂತ್ರಾಕ್ಷತೆ, ಹಣೆಯಲ್ಲಿ ಇಟ್ಟುಕೊಳ್ಳುವ ಬೊಟ್ಟು. ಮುರಿಯದ, ಮುಕ್ಕಾಗದ."
ಅಕ್ಷಯ,"(ನಾ),(ಗು)",ಅರವತ್ತು ಸಂವತ್ಸರಗಳಲ್ಲಿ ಒಂದು. ಕ್ಷಯವಿಲ್ಲದ.
ಅಕ್ಷರ,"(ನಾ),(ಗು)","‘ಅ’ ಕಾರ ಮೊದಲಾದ ವರ್ಣಗಳು, ಬರಹ.ನಾಶವಿಲ್ಲದ."
ಅಕ್ಷರಜ್ಞ,(ನಾ),ಓದು ಬರಹ ಬಲ್ಲವನು.
ಅಕ್ಷರಶಃ,(ಅ),"ಅಕ್ಷರ ಅಕ್ಷರವಾಗಿ, ಪತ್ರಿಯೊಂದು ವಿವರದಲ್ಲೂ."
ಅಕ್ಷಾಂಶ,(ನಾ),"ಅಕ್ಷರೇಖೆಯ ಒಂದು ಭಾಗ, ಭೂಗೋಳದ ಮೇಲ್ಮೈಯ ಮೇಲೆ ಅಡ್ಡಡ್ಡಲಾಗಿ ಎಳೆದಂತೆ ಭಾವಿಸಿರುವ ವೃತ್ತಕಾರದ ರೇಖೆ."
ಅಕ್ಷಿ,(ನಾ),ಕಣ್ಣು.
ಅಖಂಡ,(ಗು),ಇಡಿಯಾದ
ಅಖಾಡ,(ನಾ),ಕುಸ್ತಿಯ ಕಣ.
ಅಖಿಳ,(ಗು),ಇಡಿಯಾದ
ಅಖ್ಯಾತ ಪ್ರತ್ಯಯ,(ನಾ),ಧಾತುವಿಗೆ ಸೇರುವ ಪ್ರತ್ಯಯ.
ಅಗಡು,"(ನಾ),(ಗು)",ತುಂಟತನ. ತುಂಟ.
ಅಗಣಿ,(ನಾ),"ಕದವನ್ನು ತೆಗೆಯಲಾಗದಂತೆ ತಡೆಯುವ ಅಡ್ಡಮರ, ತಾಪಾಳ."
ಅಗಣಿತ,(ಗು),ಎಣಿಕೆಗೆ ಮೀರಿದ
ಅಗಣ್ಯ,(ಗು),"ಎಣಿಸಲಾಗದ, ಗಣನೆಗೆ ಬಾರದ."
ಅಗತೆ,(ನಾ),"ತೋಡುವುದು, ಕಂದಕ."
ಅಗತ್ಯ,(ನಾ),ಆವಶ್ಯಕತೆ.
ಅಗದೀ,(ಅ),"ಪೂರ್ತಿಯಾಗಿ, ಅಗ್ದೀ."
ಅಗಮ್ಯ,(ಗು),"ಮುಟ್ಟಲಸಾಧ್ಯವಾದ, ಬುದ್ದಿಗೆ ಎಟುಕದ."
ಅಗರು,(ನಾ),ಒಂದು ಜಾತಿಯ ಸುಗಂಧದ ಮರ.
ಅಗಲು,(ನಾ),"ಬಿಟ್ಟು ಹೋಗು, ವಿಶಾಲವಾಗು."
ಅಗಸ,(ನಾ),ಬಟ್ಟೆ ಶುದ್ಧ/ಶುಭ್ರ ಮಾಡುವವನು.
ಅಗಸೆ,(ನಾ),"ಊರಿನ ಪ್ರವೇಶ ದ್ವಾರ, ಹೆಬ್ಬಾಗಿಲು, ಒಂದು ಬಗೆಯ ಮರ."
ಅಗಾಡಿ,(ನಾ),ಮುಂಭಾಗ.
ಅಗಾಧ,"(ನಾ),(ಗು)","ಗುಂಡಿ. ಅಳವಾದ, ಅತ್ಯಧಿಕವಾದ."
ಅಗಾವು,(ಗು),ಮುಂಗಡವಾಗಿ ಕೊಡುವ.
ಅಗಿ,(ಕ್ರಿ),"ಹೆದರು, ಜಗಿ, ಕಚ್ಚು, ಅಲುಗಾಡು."
ಅಗಿಹುಣ್ಣಿಮೆ,(ನಾ),ವೈಶಾಖಮಾಸದ ಹುಣ್ಣಿಮೆ.
ಅಗೆ,"(ನಾ),(ಕ್ರಿ)",ಮೊಳಕೆ  ನಾಟಿ ಮಾಡುವ ಸಸಿ. ತೋಡು.
ಅಗೇಡಿ,(ನಾ),"ಪಾತಿ, ಮಡಿ."
ಅಗ್ಗ,(ನಾ),"ಕಡಿಮೆ ಬೆಲೆ, ಅಲ್ಪ."
ಅಗ್ಗಳಿಕೆ,(ನಾ),"ದೊಡ್ಡಸ್ತಿಕೆ, ಸಾಮರ್ಥ್ಯ"
ಅಗ್ಗಿ,(ನಾ),ಬೆಂಕಿ.
ಅಗ್ಗಿಷ್ಟಿಗೆ,(ನಾ),ಕೆಂಡವನ್ನು ಇಟ್ಟು ಕಾಯಿಸುವ ಸಾಧನ.
ಅಗ್ನಿ,(ನಾ),"ಬೆಂಕಿ ಕಾರ್ಯ ಅಗ್ನಿಪೂಜೆ ಕುಂಡ, ಹೋಮ."
ಅಗ್ರಜ,(ನಾ),"ಹಿರಿಯ ಸೋದರ, ಅಣ್ಣ."
ಅಗ್ರಹಾರ,(ನಾ),"ದಾನಕೊಟ್ಟ ಭೂಮಿ ಅಥವಾ ಗ್ರಾಮ, ಬ್ರಾಹ್ಮಣರು ವಾಸ ಮಾಡುವ ಕೇರಿ."
ಅಚ್ಚ,"(ನಾ),(ಗು)","ಸ್ಪಟಿಕ. ಬೆರಕೆಯಿಲ್ಲದ, ಅಪ್ಪಟ."
ಅಚ್ಚರಿ,(ನಾ),"ಆಶ್ಚರ್ಯ, ಅಪ್ಸರೆ."
ಅಚ್ಚು,(ನಾ),"ಎರಕ ಹೊಯ್ಯಲು ಬಿಂಬವನ್ನು ಮಾಡಿಕೊಳ್ಳುವ ಸಾಧನ, ಪಡಿಯಚ್ಚು, ಮುದ್ರಣ, ನಡುಗೂಟ."
ಅಚ್ಚುಕಟ್ಟು,(ನಾ),"ಸರಿಯಾದುದು, ಸಮರ್ಪಕವಾದುದು, ಓರಣವಾದುದು."
ಅಚ್ಚುಕಟ್ಟು ಪ್ರದೇಶ,(ನಾ),ನೀರಾವರಿಗೆ ಒಳಗಾಗಿರುವ ಫಲವತ್ತಾದ ಭೂಮಿ.
ಅಜಮಾಯಿಶಿಷಿ,(ನಾ),"ಪರೀಕ್ಷೆ, ತನಿಖೆ."
ಅಜವಾನ,(ನಾ),ಓಮುಕಾಳು.
ಅಜಾತ,(ಗು),ಹುಟ್ಟು ಇಲ್ಲದ
ಅಜಾನುಬಾಹು,(ನಾ),"ಮಂಡಿಯನ್ನು ಮುಟ್ಟುವಷ್ಟು ನೀಳವಾದ ತೋಳನ್ನುಳ್ಳವನು, ಎತ್ತರವಾಗಿರುವವನು."
ಅಜೀರ್ಣ,(ಗು),ಅರಗದ
ಅಜೇಯ,(ನಾ),ಗೆಲ್ಲಲಾಗದ.
ಅಜ್ಜ,(ನಾ),"ತಂದೆಯ ಅಥವಾ ತಾಯಿಯ ತಂದೆ, ಮುದುಕ."
ಅಜ್ಜಿ,(ನಾ),"ತಂದೆಯ ಅಥವಾ ತಾಯಿಯ ತಾಯಿ, ಮುದುಕಿ."
ಅಜ್ಞ,(ನಾ),ತಿಳಿವಳಿಕೆ ಇಲ್ಲದವನು.
ಅಜ್ಞಾತ,(ಗು),"ತಿಳಿಯದ ವಾಸ, ಹೆಸರಿಲ್ಲದ."
ಅಜ್ಞಾತವಾಸ,(ನಾ),ಯಾರಿಗೂ ತಿಳಿಯದಂತೆ ಇರುವುದು
ಅಜ್ಞಾನ,(ನಾ),ತಿಳಿವಿಲ್ಲದಿರುವಿಕೆ.
ಅಟಕಾಯಿಸು,(ಕ್ರಿ),ಅಡ್ಡಿ ಮಾಡು.
ಅಟಾಟೋಪ,(ನಾ),ಆಡಂಬರ.
ಅಟ್ಚೆಗಾಲು,(ನಾ),ಡೊಂಕುಗಾಲು.
ಅಟ್ಟ,(ನಾ),"ಮನೆಯ ಒಳಗಡೆ ಛಾವಣಿಗೆ ಹೊಂದಿ ಮಾಡಿರುವ ಅಂತಸ್ತು, ಮಹಡಿ, ವೇದಿಕೆ."
ಅಟ್ಟಣ,(ನಾ),"ಕೊತ್ತಳ, ಮಂಚಿಕೆ."
ಅಟ್ಟಣಿಗೆ,(ನಾ),"ಹೊಲ ಗದ್ದೆ ಮುಂತಾದ ಕಡೆಗಳಲ್ಲಿ ಕಂಬಗಳನ್ನು ನಟ್ಟು ಮೇಲೆ ಕಟ್ಟಿದ ಕಾವಲಿನ ಗುಡಿಸಲು, ಎತ್ತರವಾದ ವೇದಿಕೆ."
ಅಟ್ಟವಣೆ,(ನಾ),"ಕೂಡುವ ಮತ್ತು ಕಳೆಯುವ ಲೆಕ್ಕ, ವ್ಯಾಸಪೀಠ."
ಅಟ್ಟಹಾಸ,(ನಾ),"ತುಂಬ ಗಟ್ಟಿಯಾದ ನಗು, ಆಡಂಬರ"
ಅಟ್ಟು,"(ನಾ),(ಕ್ರಿ)","ಬೆನ್ನಟ್ಟುವಿಕೆ. ಬೆನ್ನುಹತ್ತಿ ಹೋಗು,  ಓಡಿಸು."
ಅಟ್ಟೆ,(ನಾ),"ತೆಲೆಯಿಲ್ಲದ ದೇಹ, ಪಾದರಕ್ಷೆಯ ತಳಭಾಗದ ಹಲ್ಲೆ, ರಸ ತೆಗೆದ ಕಬ್ಬಿನ ಸಿಪ್ಪೆ, ಮಾಯುತ್ತಿರುವ ಗಾಯದ ಹೊರ ಪದರ."
ಅಠಾರ,(ನಾ),ಹದಿನೆಂಟು.
ಅಡಕ,(ನಾ),"ಹಿಡಿತ, ಮಿತಿ, ಒಳಸೇರಿರುವುದು, ಒಂದರ ಮೇಲೊಂದನ್ನು ಪೇರಿಸುವುದು."
ಅಡಕಿಲು,(ನಾ),ಒಂದರ ಮೇಲೆ ಒಂದನ್ನು ಪೇರಿಸಿ ಇಡುವುದು.
ಅಡಕೆ,(ನಾ),ಒಂದು ಬಗೆಯ ಮರ ಮತ್ತು ಅದರ ಹಣ್ಣು ಕಾಯಿ ಇತ್ಯಾದಿ.
ಅಡಗು,(ಕ್ರಿ),"ಮರೆಯಾಗು, ಶಮನವಾಗು, ಕೊನೆಗೊಳ್ಳು."
ಅಡಚಣೆ,(ನಾ),ತೊಂದರೆ.
ಅಡಪ,(ನಾ),"ಅಡಕೆಲೆಯ ಚೀಲ, ಹಡಪ."
ಅಡರು,(ಕ್ರಿ),"ಮೇಲಕ್ಕೆ ಹತ್ತು, ಹಬ್ಬು."
ಅಡವಿ,(ನಾ),"ಕಾಡು, ಅರಣ್ಯ."
ಅಡವು,(ನಾ),"ರೀತಿ, ಸಮೃದ್ಧಿ , ಒತ್ತೆ."
ಅಡಸು,(ಕ್ರಿ),"ಬಿಗಿಯಾಗಿ ಒತ್ತು, ತುರುಕು, ಮೇಲೆ ಬೀಳು, ಪ್ರಾಪ್ತವಾಗು, ಸೇರಿಸು"
ಅಡಾಯುಧ,(ನಾ),ಒಂದು ಬಗೆಯ ಕತ್ತಿ.
ಅಡಾವುಡಿ,(ನಾ),"ಗದ್ದಲ, ಅಡಂಬರ."
ಅಡಿ,(ನಾ),"ಹೆಜ್ಜೆ, ಹನ್ನೆರಡು ಅಂಗುಲದ ಉದ್ದಳತೆ, ಕೆಳಭಾಗ."
ಅಡುಕು,(ಕ್ರಿ),"ಪೇರಿಸು, ಒತ್ತೊತ್ತಾಗಿ ಇಡು."
ಅಡುಗೆ,(ನಾ),ಬೇಯಿಸಿ ಸಿದ್ಧಪಡಿಸಿದ ಊಟದ ಪದಾರ್ಥ
ಅಡೆ,(ನಾ),"ಅಡ್ಡಿ, ತೊಂದರೆ."
ಅಡ್ಡ,(ನಾ),"ಪಕ್ಕದಿಂದ ಪಕ್ಕಕ್ಕೆ ಸಾಗಿರುವುದು, ತಡೆ."
ಅಡ್ಡಣ,(ನಾ),ಗುರಾಣಿ.
ಅಡ್ಡಣಿಗೆ,(ನಾ),"ಊಟದ ತಟ್ಟೆ ಮುಂತಾದುವನ್ನು ಇಡುವ ಪೀಠ, ಮುಕ್ಕಾಲು ಮಣೆ."
ಅಡ್ಡಿ,(ನಾ),"ತಡೆ, ವಿಘ್ನ."
ಅಡ್ಡೆ,(ನಾ),"ಹೆಗಲು ಅಥವಾ ಕೊರಳ ಮೇಲೆ ಹೊರುವುದಕ್ಕಾಗಿ ಮಾಡಿರುವ ಬಿದಿರ ದಬ್ಬೆಯ ಸಾಧನ, ಕಾವಡಿ."
ಅಣಕ,(ಆ),"ಅಪಹಾಸ್ಯ, ಹೀಯಾಳಿಸುವುದು, ವಿನೋದ."
ಅಣಗು,(ಕ್ರಿ),"ಉಪಶಮನ ಹೊಂದು, ಅವಿತು ಕೊಳ್ಳು."
ಅಣಬಿ,(ನಾ),ಅಣಬೆ.
ಅಣಬೆ,(ನಾ),"ನಾಯಿಕೊಡೆ, ಅಣಬಿ, ಒಂದು ಬಗೆಯ ಶಿಲೀಂದ್ರ."
ಅಣಿ,"(ನಾ),(ಕ್ರಿ)","ಅಚ್ಚುಕಟ್ಟು, ನೆಯ್ಗೆಯ ಮಗ್ಗದ ಹಾಸು ಹೊಕ್ಕಗಳ ಜೋಡಣೆ. ಸಜ್ಜಾಗು."
ಅಣಿಲು,(ನಾ),"ಅಳಿಲು, ಇಣಚಿ."
ಅಣು,(ನಾ),ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ವಸ್ತು.
ಅಣೆ,"(ನಾ),(ಕ್ರಿ)","ಅಡ್ಡಗೆಟ್ಟೆ. ತಿವಿ, ಹೊಡೆ, ಆವರಿಸು."
ಅಣ್ಣ,(ನಾ),ಹಿರಿಯ  ಸಹೋದರ.
ಅಣ್ಣೆ,(ನಾ),ಒಂದು ಬಗ್ಗೆಯ ಸೊಪ್ಪು.
ಅಣ್ಣೆಕಲ್ಲು,(ನಾ),ಆಟವಾಡುವಾಗ ಮೇಲಕ್ಕೆ ಹಾರಿಸಿ ಕೈಯೊಡ್ಡೆ ಹಿಡಿದುಕೊಳ್ಳುವ ಸಣ್ಣಕಲ್ಲು.
ಅತಂತ್ರ,(ಗು),ಭದ್ರತೆಯಿಲ್ಲದ.
ಅತಸಿ,(ನಾ),ಅಗಸೆಯ ಗಿಡ.
ಅತಿ,"(ನಾ),(ಗು)",ಹೆಚ್ಚು. ಮೀರಿದ.
ಅತಿಕ್ರಮ,(ನಾ),ಮೀರುವುದು.
ಅತಿಥಿ,(ನಾ),"ಆಮಂತ್ರಣವನ್ನು ಪಡೆದು ಅಥವಾ ಪಡೆಯದೆಯೆ ಮನೆಗೆ ಬಂದ ಗೌರವಸ್ಥ, ನೆಂಟ."
ಅತಿಥಿಗೃಹ,(ನಾ),"ವಾಸಸ್ಥಳ, ಹಾಸ್ಟೇಲ್."
ಅತಿರೇಕ,(ನಾ),ಅಳತೆಗೆ ಮೀರಿದ ಸ್ಥಿತಿ.
ಅತಿಶಯ,(ನಾ),"ಹೆಚ್ಚಳ, ಅಸಾಧಾರಣವಾದ ಮಹಿಮೆ"
ಅತೀತ,(ಗು),"ಮೀರಿದ, ಕಳೆದು ಹೋದ."
ಅತೀವ,(ಗು),ತುಂಬ.
ಅತ್ತ,(ನಾ),ಅ ಕಡೆ.
ಅತ್ತರು,(ನಾ),ಹೂವುಗಳನ್ನು ಭಟ್ಟಿಯಿಳಿಸಿ ತೆಗೆದ ಸುಗಂಧದ್ರವ್ಯ.
ಅತ್ತಿ,(ನಾ),ಒಂದು ಬಗೆಯ ಮರ.
ಅತ್ತಿಗೆ.,(ನಾ),"ಅಣ್ಣನ ಹೆಂಡತಿ, ಗಂಡನ ಅಕ್ಕ."
ಅತ್ತೆ,(ನಾ),"ಹೆಂಡತಿಯ ಅಥವಾ ಗಂಡನ ತಾಯಿ, ತಂದೆಯ ಒಡಹುಟ್ಟಿದವಳು, ಸೋದರಮಾವನ ಹೆಂಡತಿ."
ಅದಟ,(ನಾ),ಶೂರ.
ಅದಟು,(ನಾ),"ಶೌರ್ಯ, ಗರ್ವ"
ಅದಾಲತು(ತ್ತು),(ನಾ),"ಕೋರ್ಟು, ಅದಾಲತ್ತು."
ಅದಾಲತ್ತು,(ನಾ),ಕೋರ್ಟು.
ಅಧಿಕ,(ಗು),"ಹೆಚ್ಚಾದ, ಉತ್ತಮವಾದ ಪ್ರಸಂಗ."
ಅಧಿಕಾರ,(ನಾ),"ಯಾವುದಾದರೊಂದು ಕಾರ್ಯವನ್ನು ನಡೆಸುವ ವಿಧಿಸುವ ಅಥವಾ ನಿರ್ಣಯಿಸುವ ಶಕ್ತಿ, ಕಾರ್ಯನಿರ್ವಾಹಕ ಸ್ಥಾನ ಅಳಿಕೆ, ಹಕ್ಕು, ಯೋಗ್ಯತೆ."
ಅಧಿಕೃತ,(ಗು),"ಅಧಿಕಾರದಲ್ಲಿ ನಿಯೋಜಿಸಲ್ಪಟ್ಟ, ಪ್ರಮಾಣಭೂತವಾದ."
ಅಧಿದೇವತೆ,(ನಾ),"ಅಬಿsಮಾನಿ ದೇವತೆ, ಮುಖ್ಯ ದೇವತೆ."
ಅಧೀನ,(ಗು),ಒಬ್ಬರ ಕೈಕೆಳಗಿರುವ.
ಅಧಿನಾಯಕ,(ನಾ),"ಸರ್ವಾಧಿಕಾರವುಳ್ಳ ಒಡೆಯ, ಪ್ರಭು."
ಅದುಮಿಕೊಂಡಿರು,(ಕ್ರಿ),ಮೌನವಾಗಿರು.
ಅದುಮು,(ಕ್ರಿ),ಒತ್ತು.
ಅದೃಶ್ಯ,(ನಾ),ಕಣ್ಣಿಗೆ ಬೀಳದ.
ಅದೃಷ್ಟ,"(ನಾ),(ಗು)","ವಿಧಿ, ಭಾಗ್ಯ. ಕಾಣದ."
ಅದ್ದೂರಿ,(ನಾ),"ವೈಭವ, ವಿಜೃಂಭಣೆ"
ಅದ್ವಿತೀಯ,(ಗು),"ಎರಡನೆಯದಿಲ್ಲದ, ಏಕೈಕ."
ಅಧಮ,"(ನಾ),(ಗು)",ಕೀಳಾದವನು. ಅತ್ಯಂತ ಕೆಳಗಿನ
ಅಧರ್ಮ,(ನಾ),"ಧರ್ಮಕ್ಕೆ ವಿರುದ್ದವಾದುದು, ಅನ್ಯಾಯದ ಮಾರ್ಗ."
